CUPS;FECHA MEDIDA;TIPO MEDIDA;PERIODO;CONSUMO
ES0339000001000003DT;30/09/2014;Reactiva;2;504
ES0339000001000003DT;30/09/2014;Reactiva;3;306
ES0339000001000003DT;31/08/2014;Activa;1;205
ES0339000001000003DT;31/08/2014;Activa;2;745
ES0339000001000003DT;31/08/2014;Activa;3;365
ES0339000001000003DT;31/08/2014;Potencia;1;3
ES0339000001000003DT;31/08/2014;Potencia;2;15
ES0339000001000003DT;31/08/2014;Potencia;3;10
ES0339000001000003DT;31/08/2014;Reactiva;1;78
ES0339000001000003DT;31/08/2014;Reactiva;2;165
ES0339000001000003DT;31/08/2014;Reactiva;3;175
ES0339000001000003DT;31/07/2014;Activa;1;334
ES0339000001000003DT;31/07/2014;Activa;2;1267
ES0339000001000003DT;31/07/2014;Activa;3;470
ES0339000001000003DT;31/07/2014;Potencia;1;5
ES0339000001000003DT;31/07/2014;Potencia;2;14
ES0339000001000003DT;31/07/2014;Potencia;3;5
ES0339000001000003DT;31/07/2014;Reactiva;1;6
ES0339000001000003DT;31/07/2014;Reactiva;2;134
ES0339000001000003DT;31/07/2014;Reactiva;3;230
ES0339000001000003DT;30/06/2014;Activa;1;403
ES0339000001000003DT;30/06/2014;Activa;2;1407
ES0339000001000003DT;30/06/2014;Activa;3;501
ES0339000001000003DT;30/06/2014;Potencia;1;10
ES0339000001000003DT;30/06/2014;Potencia;2;20
ES0339000001000003DT;30/06/2014;Potencia;3;7
ES0339000001000003DT;30/06/2014;Reactiva;1;13
ES0339000001000003DT;30/06/2014;Reactiva;2;167
ES0339000001000003DT;30/06/2014;Reactiva;3;246
ES0339000001000003DT;31/05/2014;Activa;1;192
ES0339000001000003DT;31/05/2014;Activa;2;753
ES0339000001000003DT;31/05/2014;Activa;3;492
ES0339000001000003DT;31/05/2014;Potencia;1;10
ES0339000001000003DT;31/05/2014;Potencia;2;15
ES0339000001000003DT;31/05/2014;Potencia;3;7
ES0339000001000003DT;31/05/2014;Reactiva;1;28
ES0339000001000003DT;31/05/2014;Reactiva;2;227
ES0339000001000003DT;31/05/2014;Reactiva;3;317
ES0339000001000003DT;30/04/2014;Activa;1;479
ES0339000001000003DT;30/04/2014;Activa;2;1026
ES0339000001000003DT;30/04/2014;Activa;3;387
ES0339000001000003DT;30/04/2014;Potencia;1;17
ES0339000001000003DT;30/04/2014;Potencia;2;15
ES0339000001000003DT;30/04/2014;Potencia;3;5
ES0339000001000003DT;30/04/2014;Reactiva;1;89
ES0339000001000003DT;30/04/2014;Reactiva;2;186
ES0339000001000003DT;30/04/2014;Reactiva;3;109
ES0339000001000003DT;31/03/2014;Activa;1;534
ES0339000001000003DT;31/03/2014;Activa;2;556
ES0339000001000003DT;31/03/2014;Activa;3;162
ES0339000001000003DT;31/03/2014;Potencia;1;25
ES0339000001000003DT;31/03/2014;Potencia;2;24
ES0339000001000003DT;31/03/2014;Potencia;3;5
ES0339000001000003DT;31/03/2014;Reactiva;1;90
ES0339000001000003DT;31/03/2014;Reactiva;2;82
ES0339000001000003DT;31/03/2014;Reactiva;3;24
ES0339000001000003DT;28/02/2014;Activa;1;811
ES0339000001000003DT;28/02/2014;Activa;2;756
ES0339000001000003DT;28/02/2014;Activa;3;363
ES0339000001000003DT;28/02/2014;Potencia;1;22
ES0339000001000003DT;28/02/2014;Potencia;2;27
ES0339000001000003DT;28/02/2014;Potencia;3;12
ES0339000001000003DT;28/02/2014;Reactiva;1;154
ES0339000001000003DT;28/02/2014;Reactiva;2;130
ES0339000001000003DT;28/02/2014;Reactiva;3;177
ES0339000001000003DT;31/01/2014;Activa;1;516
ES0339000001000003DT;31/01/2014;Activa;2;766
ES0339000001000003DT;31/01/2014;Activa;3;521
ES0339000001000003DT;31/01/2014;Potencia;1;24
ES0339000001000003DT;31/01/2014;Potencia;2;17
ES0339000001000003DT;31/01/2014;Potencia;3;10
ES0339000001000003DT;31/01/2014;Reactiva;1;148
ES0339000001000003DT;31/01/2014;Reactiva;2;175
ES0339000001000003DT;31/01/2014;Reactiva;3;330
ES0339000001000003DT;31/12/2013;Activa;1;626
ES0339000001000003DT;31/12/2013;Activa;2;982
ES0339000001000003DT;31/12/2013;Activa;3;538
ES0339000001000003DT;31/12/2013;Potencia;1;19
ES0339000001000003DT;31/12/2013;Potencia;2;19
ES0339000001000003DT;31/12/2013;Potencia;3;10
ES0339000001000003DT;31/12/2013;Reactiva;1;179
ES0339000001000003DT;31/12/2013;Reactiva;2;250
ES0339000001000003DT;31/12/2013;Reactiva;3;360
ES0339000001000003DT;30/11/2013;Activa;1;363
ES0339000001000003DT;30/11/2013;Activa;2;872
ES0339000001000003DT;30/11/2013;Activa;3;520
ES0339000001000003DT;30/11/2013;Potencia;1;16
ES0339000001000003DT;30/11/2013;Potencia;2;20
ES0339000001000003DT;30/11/2013;Potencia;3;5
ES0339000001000003DT;30/11/2013;Reactiva;1;124
ES0339000001000003DT;30/11/2013;Reactiva;2;295
ES0339000001000003DT;30/11/2013;Reactiva;3;355
ES0339000001000004DR;30/09/2015;Activa;1;663
ES0339000001000004DR;30/09/2015;Potencia;1;7
ES0339000001000004DR;30/09/2015;Reactiva;1;0
ES0339000001000004DR;31/08/2015;Activa;1;766
ES0339000001000004DR;31/08/2015;Potencia;1;5
ES0339000001000004DR;31/08/2015;Reactiva;1;0
ES0339000001000004DR;31/07/2015;Activa;1;976
ES0339000001000004DR;31/07/2015;Potencia;1;7
ES0339000001000004DR;31/07/2015;Reactiva;1;0
ES0339000001000004DR;30/06/2015;Activa;1;791
ES0339000001000004DR;30/06/2015;Potencia;1;6
ES0339000001000004DR;30/06/2015;Reactiva;1;0
ES0339000001000004DR;31/05/2015;Activa;1;610
ES0339000001000004DR;31/05/2015;Potencia;1;7
ES0339000001000004DR;31/05/2015;Reactiva;1;0
ES0339000001000004DR;30/04/2015;Activa;1;468
ES0339000001000004DR;30/04/2015;Potencia;1;3
ES0339000001000004DR;30/04/2015;Reactiva;1;0
ES0339000001000004DR;31/03/2015;Activa;1;1019
ES0339000001000004DR;31/03/2015;Potencia;1;8
ES0339000001000004DR;31/03/2015;Reactiva;1;0
ES0339000001000004DR;28/02/2015;Activa;1;1550
ES0339000001000004DR;28/02/2015;Potencia;1;10
ES0339000001000004DR;28/02/2015;Reactiva;1;0
ES0339000001000004DR;31/01/2015;Activa;1;1601
ES0339000001000004DR;31/01/2015;Potencia;1;10
ES0339000001000004DR;31/01/2015;Reactiva;1;0
ES0339000001000004DR;31/12/2014;Activa;1;1126
ES0339000001000004DR;31/12/2014;Potencia;1;11
ES0339000001000004DR;31/12/2014;Reactiva;1;0
ES0339000001000004DR;30/11/2014;Activa;1;722
ES0339000001000004DR;30/11/2014;Potencia;1;8
ES0339000001000004DR;30/11/2014;Reactiva;1;0
ES0339000001000004DR;31/10/2014;Activa;1;488
ES0339000001000004DR;31/10/2014;Potencia;1;3
ES0339000001000004DR;31/10/2014;Reactiva;1;0
ES0339000001000004DR;30/09/2014;Activa;1;654
ES0339000001000004DR;30/09/2014;Potencia;1;6
ES0339000001000004DR;30/09/2014;Reactiva;1;0
ES0339000001000004DR;31/08/2014;Activa;1;711
ES0339000001000004DR;31/08/2014;Potencia;1;6
ES0339000001000004DR;31/08/2014;Reactiva;1;0
ES0339000001000004DR;31/07/2014;Activa;1;624
ES0339000001000004DR;31/07/2014;Potencia;1;5
ES0339000001000004DR;31/07/2014;Reactiva;1;0
ES0339000001000004DR;30/06/2014;Activa;1;521
ES0339000001000004DR;30/06/2014;Potencia;1;5
ES0339000001000004DR;30/06/2014;Reactiva;1;0
ES0339000001000004DR;31/05/2014;Activa;1;560
ES0339000001000004DR;31/05/2014;Potencia;1;6
ES0339000001000004DR;31/05/2014;Reactiva;1;0
ES0339000001000004DR;30/04/2014;Activa;1;464
ES0339000001000004DR;30/04/2014;Potencia;1;8
ES0339000001000004DR;30/04/2014;Reactiva;1;0
ES0339000001000004DR;31/03/2014;Activa;1;749
ES0339000001000004DR;31/03/2014;Potencia;1;7
ES0339000001000004DR;31/03/2014;Reactiva;1;0
ES0339000001000004DR;28/02/2014;Activa;1;1414
ES0339000001000004DR;28/02/2014;Potencia;1;10
ES0339000001000004DR;28/02/2014;Reactiva;1;0
ES0339000001000004DR;31/01/2014;Activa;1;1621
ES0339000001000004DR;31/01/2014;Potencia;1;11
ES0339000001000004DR;31/01/2014;Reactiva;1;0
ES0339000001000004DR;31/12/2013;Activa;1;1127
ES0339000001000004DR;31/12/2013;Potencia;1;0
ES0339000001000004DR;31/12/2013;Reactiva;1;0
ES0339000001000004DR;30/11/2013;Activa;1;1024
ES0339000001000004DR;30/11/2013;Potencia;1;11
ES0339000001000004DR;30/11/2013;Reactiva;1;0
ES0339000001000005DW;30/09/2015;Activa;1;321
ES0339000001000005DW;30/09/2015;Activa;2;266
ES0339000001000005DW;30/09/2015;Potencia;1;5
ES0339000001000005DW;30/09/2015;Potencia;2;4
ES0339000001000005DW;30/09/2015;Reactiva;1;0
ES0339000001000005DW;30/09/2015;Reactiva;2;0
ES0339000001000005DW;31/08/2015;Activa;1;306
ES0339000001000005DW;31/08/2015;Activa;2;315
ES0339000001000005DW;31/08/2015;Potencia;1;5
ES0339000001000005DW;31/08/2015;Potencia;2;4
ES0339000001000005DW;31/08/2015;Reactiva;1;0
ES0339000001000005DW;31/08/2015;Reactiva;2;0
ES0339000001000005DW;31/07/2015;Activa;1;322
ES0339000001000005DW;31/07/2015;Activa;2;398
ES0339000001000005DW;31/07/2015;Potencia;1;5
ES0339000001000005DW;31/07/2015;Potencia;2;5
ES0339000001000005DW;31/07/2015;Reactiva;1;0
ES0339000001000005DW;31/07/2015;Reactiva;2;0
ES0339000001000005DW;30/06/2015;Activa;1;294
ES0339000001000005DW;30/06/2015;Activa;2;1125
ES0339000001000005DW;30/06/2015;Potencia;1;9
ES0339000001000005DW;30/06/2015;Potencia;2;9
ES0339000001000005DW;30/06/2015;Reactiva;1;0
ES0339000001000005DW;30/06/2015;Reactiva;2;0
ES0339000001000005DW;31/05/2015;Activa;1;325
ES0339000001000005DW;31/05/2015;Activa;2;1200
ES0339000001000005DW;31/05/2015;Potencia;1;5
ES0339000001000005DW;31/05/2015;Potencia;2;5
ES0339000001000005DW;31/05/2015;Reactiva;1;0
ES0339000001000005DW;31/05/2015;Reactiva;2;0
ES0339000001000005DW;30/04/2015;Activa;1;422
ES0339000001000005DW;30/04/2015;Activa;2;1284
ES0339000001000005DW;30/04/2015;Potencia;1;4
ES0339000001000005DW;30/04/2015;Potencia;2;4
ES0339000001000005DW;30/04/2015;Reactiva;1;0
ES0339000001000005DW;30/04/2015;Reactiva;2;0
ES0339000001000005DW;31/03/2015;Activa;1;589
ES0339000001000005DW;31/03/2015;Activa;2;1410
ES0339000001000005DW;31/03/2015;Potencia;1;5
ES0339000001000005DW;31/03/2015;Potencia;2;4
ES0339000001000005DW;31/03/2015;Reactiva;1;0
ES0339000001000005DW;31/03/2015;Reactiva;2;0
ES0339000001000005DW;28/02/2015;Activa;1;681
ES0339000001000005DW;28/02/2015;Activa;2;1392
ES0339000001000005DW;28/02/2015;Potencia;1;6
ES0339000001000005DW;28/02/2015;Potencia;2;4
ES0339000001000005DW;28/02/2015;Reactiva;1;0
ES0339000001000005DW;28/02/2015;Reactiva;2;0
ES0339000001000005DW;31/01/2015;Activa;1;672
ES0339000001000005DW;31/01/2015;Activa;2;1602
ES0339000001000005DW;31/01/2015;Potencia;1;6
ES0339000001000005DW;31/01/2015;Potencia;2;17
ES0339000001000005DW;31/01/2015;Reactiva;1;0
ES0339000001000005DW;31/01/2015;Reactiva;2;0
ES0339000001000005DW;31/12/2014;Activa;1;767
ES0339000001000005DW;31/12/2014;Activa;2;1548
ES0339000001000005DW;31/12/2014;Potencia;1;18
ES0339000001000005DW;31/12/2014;Potencia;2;16
ES0339000001000005DW;31/12/2014;Reactiva;1;0
ES0339000001000005DW;31/12/2014;Reactiva;2;0
ES0339000001000005DW;30/11/2014;Activa;1;681
ES0339000001000005DW;30/11/2014;Activa;2;1394
ES0339000001000005DW;30/11/2014;Potencia;1;6
ES0339000001000005DW;30/11/2014;Potencia;2;5
ES0339000001000005DW;30/11/2014;Reactiva;1;0
ES0339000001000005DW;30/11/2014;Reactiva;2;0
ES0339000001000005DW;31/10/2014;Activa;1;396
ES0339000001000005DW;31/10/2014;Activa;2;1242
ES0339000001000005DW;31/10/2014;Potencia;1;4
ES0339000001000005DW;31/10/2014;Potencia;2;4
ES0339000001000005DW;31/10/2014;Reactiva;1;0
ES0339000001000005DW;31/10/2014;Reactiva;2;0
ES0339000001000005DW;30/09/2014;Activa;1;326
ES0339000001000005DW;30/09/2014;Activa;2;1274
ES0339000001000005DW;30/09/2014;Potencia;1;5
ES0339000001000005DW;30/09/2014;Potencia;2;4
ES0339000001000005DW;30/09/2014;Reactiva;1;0
ES0339000001000005DW;30/09/2014;Reactiva;2;0
ES0339000001000005DW;31/08/2014;Activa;1;344
ES0339000001000005DW;31/08/2014;Activa;2;1298
ES0339000001000005DW;31/08/2014;Potencia;1;5
ES0339000001000005DW;31/08/2014;Potencia;2;4
ES0339000001000005DW;31/08/2014;Reactiva;1;0
ES0339000001000005DW;31/08/2014;Reactiva;2;0
ES0339000001000005DW;31/07/2014;Activa;1;205
ES0339000001000005DW;31/07/2014;Activa;2;1197
ES0339000001000005DW;31/07/2014;Potencia;1;5
ES0339000001000005DW;31/07/2014;Potencia;2;5
ES0339000001000005DW;31/07/2014;Reactiva;1;0
ES0339000001000005DW;31/07/2014;Reactiva;2;0
ES0339000001000005DW;30/06/2014;Activa;1;278
ES0339000001000005DW;30/06/2014;Activa;2;1183
ES0339000001000005DW;30/06/2014;Potencia;1;5
ES0339000001000005DW;30/06/2014;Potencia;2;5
ES0339000001000005DW;30/06/2014;Reactiva;1;0
ES0339000001000005DW;30/06/2014;Reactiva;2;0
ES0339000001000005DW;31/05/2014;Activa;1;323
ES0339000001000005DW;31/05/2014;Activa;2;1239
ES0339000001000005DW;31/05/2014;Potencia;1;5
ES0339000001000005DW;31/05/2014;Potencia;2;5
ES0339000001000005DW;31/05/2014;Reactiva;1;0
ES0339000001000005DW;31/05/2014;Reactiva;2;0
ES0339000001000005DW;30/04/2014;Activa;1;341
ES0339000001000005DW;30/04/2014;Activa;2;1265
ES0339000001000005DW;30/04/2014;Potencia;1;5
ES0339000001000005DW;30/04/2014;Potencia;2;5
ES0339000001000005DW;30/04/2014;Reactiva;1;0
ES0339000001000005DW;30/04/2014;Reactiva;2;0
ES0339000001000005DW;31/03/2014;Activa;1;364
ES0339000001000005DW;31/03/2014;Activa;2;1382
ES0339000001000005DW;31/03/2014;Potencia;1;5
ES0339000001000005DW;31/03/2014;Potencia;2;5
ES0339000001000005DW;31/03/2014;Reactiva;1;0
ES0339000001000005DW;31/03/2014;Reactiva;2;0
ES0339000001000005DW;28/02/2014;Activa;1;357
ES0339000001000005DW;28/02/2014;Activa;2;1329
ES0339000001000005DW;28/02/2014;Potencia;1;4
ES0339000001000005DW;28/02/2014;Potencia;2;4
ES0339000001000005DW;28/02/2014;Reactiva;1;0
ES0339000001000005DW;28/02/2014;Reactiva;2;0
ES0339000001000005DW;31/01/2014;Activa;1;460
ES0339000001000005DW;31/01/2014;Activa;2;1532
ES0339000001000005DW;31/01/2014;Potencia;1;0
ES0339000001000005DW;31/01/2014;Potencia;2;0
ES0339000001000005DW;31/01/2014;Reactiva;1;0
ES0339000001000005DW;31/01/2014;Reactiva;2;0
ES0339000001000005DW;31/12/2013;Activa;1;666
ES0339000001000005DW;31/12/2013;Activa;2;1589
ES0339000001000005DW;31/12/2013;Potencia;1;22
ES0339000001000005DW;31/12/2013;Potencia;2;18
ES0339000001000005DW;31/12/2013;Reactiva;1;0
ES0339000001000005DW;31/12/2013;Reactiva;2;0
ES0339000001000005DW;30/11/2013;Activa;1;585
ES0339000001000005DW;30/11/2013;Activa;2;1468
ES0339000001000005DW;30/11/2013;Potencia;1;6
ES0339000001000005DW;30/11/2013;Potencia;2;5
ES0339000001000005DW;30/11/2013;Reactiva;1;0
ES0339000001000005DW;30/11/2013;Reactiva;2;0
ES0339000001000007DG;30/09/2015;Activa;1;679
ES0339000001000007DG;30/09/2015;Activa;2;1908
ES0339000001000007DG;30/09/2015;Potencia;1;10
ES0339000001000007DG;30/09/2015;Potencia;2;10
ES0339000001000007DG;30/09/2015;Reactiva;1;0
ES0339000001000007DG;30/09/2015;Reactiva;2;0
ES0339000001000007DG;31/08/2015;Activa;1;484
ES0339000001000007DG;31/08/2015;Activa;2;1885
ES0339000001000007DG;31/08/2015;Potencia;1;10
ES0339000001000007DG;31/08/2015;Potencia;2;9
ES0339000001000007DG;31/08/2015;Reactiva;1;0
ES0339000001000007DG;31/08/2015;Reactiva;2;0
ES0339000001000007DG;31/07/2015;Activa;1;343
ES0339000001000007DG;31/07/2015;Activa;2;1795
ES0339000001000007DG;31/07/2015;Potencia;1;10
ES0339000001000007DG;31/07/2015;Potencia;2;10
ES0339000001000007DG;31/07/2015;Reactiva;1;0
ES0339000001000007DG;31/07/2015;Reactiva;2;0
ES0339000001000007DG;30/06/2015;Activa;1;326
ES0339000001000007DG;30/06/2015;Activa;2;1673
ES0339000001000007DG;30/06/2015;Potencia;1;9
ES0339000001000007DG;30/06/2015;Potencia;2;9
ES0339000001000007DG;30/06/2015;Reactiva;1;0
ES0339000001000007DG;30/06/2015;Reactiva;2;0
ES0339000001000007DG;31/05/2015;Activa;1;432
ES0339000001000007DG;31/05/2015;Activa;2;1764
ES0339000001000007DG;31/05/2015;Potencia;1;9
ES0339000001000007DG;31/05/2015;Potencia;2;9
ES0339000001000007DG;31/05/2015;Reactiva;1;0
ES0339000001000007DG;31/05/2015;Reactiva;2;0
ES0339000001000007DG;30/04/2015;Activa;1;534
ES0339000001000007DG;30/04/2015;Activa;2;1878
ES0339000001000007DG;30/04/2015;Potencia;1;10
ES0339000001000007DG;30/04/2015;Potencia;2;10
ES0339000001000007DG;30/04/2015;Reactiva;1;0
ES0339000001000007DG;30/04/2015;Reactiva;2;0
ES0339000001000007DG;31/03/2015;Activa;1;661
ES0339000001000007DG;31/03/2015;Activa;2;2055
ES0339000001000007DG;31/03/2015;Potencia;1;10
ES0339000001000007DG;31/03/2015;Potencia;2;10
ES0339000001000007DG;31/03/2015;Reactiva;1;0
ES0339000001000007DG;31/03/2015;Reactiva;2;0
ES0339000001000007DG;28/02/2015;Activa;1;700
ES0339000001000007DG;28/02/2015;Activa;2;1894
ES0339000001000007DG;28/02/2015;Potencia;1;9
ES0339000001000007DG;28/02/2015;Potencia;2;9
ES0339000001000007DG;28/02/2015;Reactiva;1;0
ES0339000001000007DG;28/02/2015;Reactiva;2;0
ES0339000001000007DG;31/01/2015;Activa;1;936
ES0339000001000007DG;31/01/2015;Activa;2;2175
ES0339000001000007DG;31/01/2015;Potencia;1;9
ES0339000001000007DG;31/01/2015;Potencia;2;9
ES0339000001000007DG;31/01/2015;Reactiva;1;0
ES0339000001000007DG;31/01/2015;Reactiva;2;0
ES0339000001000007DG;31/12/2014;Activa;1;1046
ES0339000001000007DG;31/12/2014;Activa;2;2108
ES0339000001000007DG;31/12/2014;Potencia;1;9
ES0339000001000007DG;31/12/2014;Potencia;2;9
ES0339000001000007DG;31/12/2014;Reactiva;1;0
ES0339000001000007DG;31/12/2014;Reactiva;2;0
ES0339000001000007DG;30/11/2014;Activa;1;1013
ES0339000001000007DG;30/11/2014;Activa;2;2155
ES0339000001000007DG;30/11/2014;Potencia;1;10
ES0339000001000007DG;30/11/2014;Potencia;2;10
ES0339000001000007DG;30/11/2014;Reactiva;1;0
ES0339000001000007DG;30/11/2014;Reactiva;2;0
ES0339000001000007DG;31/10/2014;Activa;1;751
ES0339000001000007DG;31/10/2014;Activa;2;2233
ES0339000001000007DG;31/10/2014;Potencia;1;9
ES0339000001000007DG;31/10/2014;Potencia;2;9
ES0339000001000007DG;31/10/2014;Reactiva;1;0
ES0339000001000007DG;31/10/2014;Reactiva;2;0
ES0339000001000007DG;30/09/2014;Activa;1;549
ES0339000001000007DG;30/09/2014;Activa;2;2113
ES0339000001000007DG;30/09/2014;Potencia;1;9
ES0339000001000007DG;30/09/2014;Potencia;2;9
ES0339000001000007DG;30/09/2014;Reactiva;1;0
ES0339000001000007DG;30/09/2014;Reactiva;2;0
ES0339000001000007DG;31/08/2014;Activa;1;378
ES0339000001000007DG;31/08/2014;Activa;2;1981
ES0339000001000007DG;31/08/2014;Potencia;1;9
ES0339000001000007DG;31/08/2014;Potencia;2;9
ES0339000001000007DG;31/08/2014;Reactiva;1;0
ES0339000001000007DG;31/08/2014;Reactiva;2;0
ES0339000001000007DG;31/07/2014;Activa;1;368
ES0339000001000007DG;31/07/2014;Activa;2;1676
ES0339000001000007DG;31/07/2014;Potencia;1;9
ES0339000001000007DG;31/07/2014;Potencia;2;9
ES0339000001000007DG;31/07/2014;Reactiva;1;0
ES0339000001000007DG;31/07/2014;Reactiva;2;0
ES0339000001000007DG;30/06/2014;Activa;1;288
ES0339000001000007DG;30/06/2014;Activa;2;1561
ES0339000001000007DG;30/06/2014;Potencia;1;9
ES0339000001000007DG;30/06/2014;Potencia;2;9
ES0339000001000007DG;30/06/2014;Reactiva;1;0
ES0339000001000007DG;30/06/2014;Reactiva;2;0
ES0339000001000007DG;31/05/2014;Activa;1;396
ES0339000001000007DG;31/05/2014;Activa;2;1665
ES0339000001000007DG;31/05/2014;Potencia;1;9
